,original_name,school_name
0,Louisiana State,Louisiana State University--Baton Rouge
1,Northwestern Oklahoma,Northwestern Oklahoma State University
2,North Carolina,University of North Carolina at Chapel Hill
3,Florida State,Florida State University
4,UCLA,"University of California, Los Angeles"
5,Tennessee-Chattanooga,University of Tennessee at Chattanooga
6,Michigan,University of Michigan--Ann Arbor
7,Purdue,Purdue University--Fort Wayne
8,Duke,Duke University
9,Ohio,Ohio University
10,Eastern Michigan,Eastern Michigan University
11,Nevada-Las Vegas,"University of Nevada, Las Vegas"
12,Kansas,University of Kansas
13,Texas-El Paso,The University of Texas at El Paso
14,Indiana,Indiana University--Bloomington
15,Louisville,University of Louisville
16,Houston,University of Houston
17,Oklahoma,University of Oklahoma
18,Oral Roberts,Oral Roberts University
19,Oregon State,Oregon State University
20,Brigham Young,Brigham Young University
21,Washington,University of Washington
22,Memphis,University of Memphis
23,Notre Dame,University of Notre Dame
24,Delaware State,Delaware State University
25,Alabama,The University of Alabama
26,Wyoming,University of Wyoming
27,Pittsburgh,University of Pittsburgh
28,Providence,Providence College
29,Nebraska,University of Nebraska -- Lincoln
30,Michigan State,Michigan State University
31,Mississippi State,Mississippi State University
32,New Orleans,University of New Orleans
33,Penn State,The Pennsylvania State University--University Park
34,Western Carolina,Western Carolina University
35,Iowa State,Iowa State University of Science and Technology
36,St. Mary's (TX),St. Mary's University of San Antonio
37,Clemson,Clemson University
38,Ohio State,The Ohio State University
39,Georgetown,Georgetown University
40,Marquette,Marquette University
41,Virginia Tech,Virginia Tech
42,Southern Mississippi,University of Southern Mississippi
43,McNeese State,McNeese State University
44,Longwood,Longwood University
45,Arkansas,University of Arkansas
46,Arkansas-Little Rock,University of Arkansas at Little Rock
47,Virginia,University of Virginia
48,Detroit Mercy,University of Detroit Mercy
49,Oklahoma State,Oklahoma State University
50,Gonzaga,Gonzaga University
51,Syracuse,Syracuse University
52,Richmond,University of Richmond
53,Georgia Tech,Georgia Institute of Technology
54,Maryland,"University of Maryland, College Park"
55,Pennsylvania,University of Pennsylvania
56,Grand Canyon,Grand Canyon University
57,Tulane,Tulane University
58,Boston College,Boston College
59,Arizona State,Arizona State University
60,Kentucky,University of Kentucky
61,St. John's (NY),St. John's University (NY)
62,South Carolina,University of South Carolina
63,California,"University of California, Berkeley"
64,Texas Tech,Texas Tech University
65,Bradley,Bradley University
66,Temple,Temple University
67,Illinois,University of Illinois Urbana-Champaign
68,Villanova,Villanova University
69,Arizona,University of Arizona
70,Auburn,Auburn University
71,Western Kentucky,Western Kentucky University
72,North Carolina State,North Carolina State University
73,Old Dominion,Old Dominion University
74,Cincinnati,University of Cincinnati
75,Washington State,Washington State University
76,Tennessee,"University of Tennessee, Knoxville"
77,Connecticut,University of Connecticut
78,Yale,Yale University
79,Boise State,Boise State University
80,Southern Illinois,Southern Illinois University--Carbondale
81,Xavier,Xavier University
82,California-Santa Barbara,"University of California, Santa Barbara"
83,Cal State-Fullerton,California State University--Fullerton
84,Long Beach State,California State University--Long Beach
85,Tennessee State,Tennessee State University
86,Albany State (GA),Albany State University
87,Virginia Union,Virginia Union University
88,Central Michigan,Central Michigan University
89,Georgia,University of Georgia
90,Northern Illinois,Northern Illinois University
91,Colorado,University of Colorado Boulder
92,Pepperdine,Pepperdine University
93,La Salle,La Salle University
94,Florida,University of Florida
95,Fayetteville State,Fayetteville State University
96,Navy,United States Naval Academy
97,Baylor,Baylor University
98,Nevada-Reno,"University of Nevada, Reno"
99,Jacksonville,Jacksonville University
100,Pacific,Pacific University
101,Southeastern Oklahoma State,Southeastern Oklahoma State University
102,Duquesne,Duquesne University
103,Augustana (SD),Augustana University
104,Central Arkansas,University of Central Arkansas
105,West Virginia Tech,West Virginia University Institute of Technology
106,California-Irvine,"University of California, Irvine"
107,Trinity Valley Community College,
